id_name,category,price_sar,old_price,sellable_online,link,other_colors,description,designer,dimensions
49252609_SOLLERÖN,Outdoor furniture,3746,No old price,TRUE,https://www.ikea.com/sa/en/p/solleroen-modular-corner-sofa-3-seat-outdoor-brown-froesoen-duvholmen-beige-s49252609/,Yes,"Modular corner sofa 3-seat, outdoor",Jonas Hultqvist/IKEA of Sweden/Eva Lilja Löwenhielm,82x88x225
40160478_LÄCKÖ,Outdoor furniture,149,No old price,TRUE,https://www.ikea.com/sa/en/p/laeckoe-chair-with-armrests-outdoor-grey-40160478/,No,"Chair with armrests, outdoor",IKEA of Sweden,60x82x56
50267049_KUNGSHOLMEN,Outdoor furniture,311.4,SR 519,TRUE,https://www.ikea.com/sa/en/p/kungsholmen-one-seat-section-outdoor-black-brown-50267049/,No,"One-seat section, outdoor",Nike Karlsson,80x73x62
40365371_MAMMUT,Outdoor furniture,59,No old price,TRUE,https://www.ikea.com/sa/en/p/mammut-childrens-chair-in-outdoor-white-40365371/,No,Children's chair,M Kjelstrup/A Östgaard,36x67x39
50401986_SJÄLLAND,Outdoor furniture,316,SR 395,TRUE,https://www.ikea.com/sa/en/p/sjaelland-bench-outdoor-light-grey-light-brown-50401986/,No,"Bench, outdoor,          136 cm",David Wahl,42x52x136
19241472_SOLLERÖN,Outdoor furniture,5144,No old price,TRUE,https://www.ikea.com/sa/en/p/solleroen-modular-corner-sofa-4-seat-outdoor-with-footstool-brown-brown-kungsoe-white-s19241472/,Yes,"Modular corner sofa 4-seat, outdoor",IKEA of Sweden/Jonas Hultqvist,144x87x287
39252704_SOLLERÖN,Outdoor furniture,3206,No old price,TRUE,https://www.ikea.com/sa/en/p/solleroen-3-seat-modular-sofa-outdoor-with-footstool-brown-brown-froesoen-duvholmen-dark-grey-s39252704/,Yes,"3-seat modular sofa, outdoor,          223x144x88 cm",Eva Lilja Löwenhielm/Jonas Hultqvist/IKEA of Sweden,144x88x223
30411415_SVANÖ,Outdoor furniture,495,No old price,TRUE,https://www.ikea.com/sa/en/p/svanoe-arbor-bench-grey-30411415/,No,"Arbor bench,          119x48 cm",Mikael Axelsson,48x179x119
50205179_ÄPPLARÖ,Outdoor furniture,425,No old price,TRUE,https://www.ikea.com/sa/en/p/aepplaroe-corner-section-outdoor-brown-stained-brown-50205179/,No,"Corner section, outdoor",K Hagberg/M Hagberg,80x73x80
60373624_SOLLERÖN,Outdoor furniture,519,No old price,TRUE,https://www.ikea.com/sa/en/p/solleroen-one-seat-section-outdoor-brown-60373624/,Yes,"One-seat section, outdoor",Jonas Hultqvist,82x74x62
39287789_SOLLERÖN,Outdoor furniture,3781,No old price,TRUE,https://www.ikea.com/sa/en/p/solleroen-modular-corner-sofa-3-seat-outdoor-dark-grey-froesoen-duvholmen-beige-s39287789/,Yes,"Modular corner sofa 3-seat, outdoor",Eva Lilja Löwenhielm/IKEA of Sweden/Jonas Hultqvist,82x88x225
80267137_VÄDDÖ,Outdoor furniture,75,SR 125,TRUE,https://www.ikea.com/sa/en/p/vaeddoe-chair-outdoor-white-80267137/,No,"Chair, outdoor",Henrik Preutz,46x79x40
80382321_MAMMUT,Outdoor furniture,59,No old price,TRUE,https://www.ikea.com/sa/en/p/mammut-childrens-chair-in-outdoor-pink-80382321/,No,Children's chair,M Kjelstrup/A Östgaard,36x67x39
9251956_HAVSTEN,Outdoor furniture,2170,No old price,TRUE,https://www.ikea.com/sa/en/p/havsten-2-seat-sofa-in-outdoor-beige-s09251956/,No,"2-seat sofa, in/outdoor,          179x94x90 cm",Andreas Fredriksson,94x90x179
70424147_BRUSEN,Outdoor furniture,1036,"SR 1,295",TRUE,https://www.ikea.com/sa/en/p/brusen-3-seat-sofa-outdoor-red-70424147/,No,"3-seat sofa, outdoor",Ola Wihlborg,64x75x146
50240031_ASKHOLMEN,Outdoor furniture,129,No old price,TRUE,https://www.ikea.com/sa/en/p/askholmen-chair-outdoor-grey-brown-foldable-grey-brown-stained-light-brown-stained-light-brown-50240031/,No,"Chair, outdoor",IKEA of Sweden,49x87x36
19241491_SOLLERÖN,Outdoor furniture,2016,No old price,TRUE,https://www.ikea.com/sa/en/p/solleroen-2-seat-modular-sofa-outdoor-brown-kungsoe-white-s19241491/,Yes,"2-seat modular sofa, outdoor,          161x82x87 cm",IKEA of Sweden/Jonas Hultqvist,82x87x161
10411421_TRANARÖ,Outdoor furniture,95,No old price,TRUE,https://www.ikea.com/sa/en/p/tranaroe-stool-side-table-in-outdoor-red-10411421/,No,"Stool/side table, in/outdoor,          56x41x43 cm",Ola Wihlborg,41x43x56
30405339_SJÄLLAND,Outdoor furniture,340,SR 425,TRUE,https://www.ikea.com/sa/en/p/sjaelland-reclining-chair-outdoor-light-grey-foldable-light-brown-30405339/,No,"Reclining chair, outdoor",David Wahl,75x110x58
9241509_SOLLERÖN,Outdoor furniture,1238,No old price,TRUE,https://www.ikea.com/sa/en/p/solleroen-armchair-outdoor-brown-kungsoe-white-s09241509/,Yes,"Armchair, outdoor",IKEA of Sweden/Jonas Hultqvist,82x87x98
29252078_HAVSTEN,Outdoor furniture,4070,No old price,TRUE,https://www.ikea.com/sa/en/p/havsten-4-seat-sofa-in-outdoor-beige-s29252078/,No,"4-seat sofa, in/outdoor,          341x94x90 cm",Andreas Fredriksson,94x90x341
9219278_KUNGSHOLMEN,Outdoor furniture,1668,No old price,TRUE,https://www.ikea.com/sa/en/p/kungsholmen-2-seat-modular-sofa-outdoor-black-brown-kungsoe-white-s09219278/,Yes,"2-seat modular sofa, outdoor,          160x80x89 cm",Nike Karlsson/IKEA of Sweden,80x89x160
49257386_KUNGSHOLMEN,Outdoor furniture,544.4,SR 752,TRUE,https://www.ikea.com/sa/en/p/kungsholmen-easy-chair-outdoor-black-brown-froesoen-duvholmen-dark-grey-s49257386/,Yes,"Easy chair, outdoor,          62x80x90 cm",Nike Karlsson/IKEA of Sweden/Eva Lilja Löwenhielm,80x90x62
99258005_KUNGSHOLMEN,Outdoor furniture,2160.4,"SR 2,368",TRUE,https://www.ikea.com/sa/en/p/kungsholmen-3-seat-modular-sofa-outdoor-black-brown-froesoen-duvholmen-dark-grey-s99258005/,Yes,"3-seat modular sofa, outdoor,          222x80x90 cm",IKEA of Sweden/Nike Karlsson/Eva Lilja Löwenhielm,80x90x222
410747_HUSARÖ,Outdoor furniture,495,No old price,TRUE,https://www.ikea.com/sa/en/p/husaroe-armchair-outdoor-dark-grey-00410747/,No,"Armchair, outdoor",Ola Wihlborg,80x102x64
50405338_SJÄLLAND,Outdoor furniture,316,SR 395,TRUE,https://www.ikea.com/sa/en/p/sjaelland-reclining-chair-outdoor-light-grey-foldable-dark-grey-50405338/,No,"Reclining chair, outdoor",David Wahl,75x110x58
90287413_BUNSÖ,Outdoor furniture,69,No old price,TRUE,https://www.ikea.com/sa/en/p/bunsoe-childrens-easy-chair-outdoor-white-90287413/,No,"Children's easy chair, outdoor",Thomas Sandell,63x49x51
70386503_SJÄLLAND,Outdoor furniture,276,SR 345,TRUE,https://www.ikea.com/sa/en/p/sjaelland-chair-with-armrests-outdoor-light-grey-light-brown-70386503/,No,"Chair with armrests, outdoor",David Wahl,60x86x60
10386450_SOLLERÖN,Outdoor furniture,460,No old price,TRUE,https://www.ikea.com/sa/en/p/solleroen-armrest-section-outdoor-brown-10386450/,No,"Armrest section, outdoor",Jonas Hultqvist,82x53x18
49267286_HAVSTEN,Outdoor furniture,3925,No old price,TRUE,https://www.ikea.com/sa/en/p/havsten-4-seat-sofa-in-outdoor-with-open-end-without-armrests-beige-s49267286/,No,"4-seat sofa, in/outdoor,          326x94x90 cm",Andreas Fredriksson,94x90x326
59303665_SOLLERÖN,Outdoor furniture,1773,No old price,TRUE,https://www.ikea.com/sa/en/p/solleroen-2-seat-modular-sofa-outdoor-dark-grey-kuddarna-beige-s59303665/,Yes,"2-seat modular sofa, outdoor,          161x82x84 cm",Jonas Hultqvist/IKEA of Sweden,82x84x161
79303645_SOLLERÖN,Outdoor furniture,2412,No old price,TRUE,https://www.ikea.com/sa/en/p/solleroen-3-seat-modular-sofa-outdoor-dark-grey-kuddarna-beige-s79303645/,Yes,"3-seat modular sofa, outdoor,          223x82x84 cm",Jonas Hultqvist/IKEA of Sweden,82x84x223
10386501_SJÄLLAND,Outdoor furniture,260,SR 325,TRUE,https://www.ikea.com/sa/en/p/sjaelland-chair-with-armrests-outdoor-light-grey-dark-grey-10386501/,No,"Chair with armrests, outdoor",David Wahl,60x86x60
70401706_SJÄLLAND,Outdoor furniture,340,SR 425,TRUE,https://www.ikea.com/sa/en/p/sjaelland-bench-outdoor-light-grey-dark-grey-70401706/,No,"Bench, outdoor,          136 cm",David Wahl,42x52x136
60365346_MAMMUT,Outdoor furniture,59,No old price,TRUE,https://www.ikea.com/sa/en/p/mammut-childrens-chair-in-outdoor-blue-60365346/,No,Children's chair,M Kjelstrup/A Östgaard,36x67x39
39251931_HAVSTEN,Outdoor furniture,1075,No old price,TRUE,https://www.ikea.com/sa/en/p/havsten-easy-chair-in-outdoor-beige-s39251931/,No,"Easy chair, in/outdoor,          83x94x90 cm",Andreas Fredriksson,94x90x83
99251966_HAVSTEN,Outdoor furniture,3120,No old price,TRUE,https://www.ikea.com/sa/en/p/havsten-3-seat-sofa-in-outdoor-beige-s99251966/,No,"3-seat sofa, in/outdoor,          260x94x90 cm",Andreas Fredriksson,94x90x260
29303624_SOLLERÖN,Outdoor furniture,2832,No old price,TRUE,https://www.ikea.com/sa/en/p/solleroen-3-seat-modular-sofa-outdoor-with-footstool-dark-grey-kuddarna-beige-s29303624/,Yes,"3-seat modular sofa, outdoor",Jonas Hultqvist/IKEA of Sweden,144x84x223
9251961_HAVSTEN,Outdoor furniture,2025,No old price,TRUE,https://www.ikea.com/sa/en/p/havsten-2-seat-sofa-in-outdoor-with-open-end-without-armrests-beige-s09251961/,No,"2-seat sofa, in/outdoor,          164x94x90 cm",Andreas Fredriksson,94x90x164
10267046_KUNGSHOLMEN,Outdoor furniture,575,No old price,TRUE,https://www.ikea.com/sa/en/p/kungsholmen-corner-section-outdoor-black-brown-10267046/,No,"Corner section, outdoor",Nike Karlsson,80x73x80
19287714_SOLLERÖN,Outdoor furniture,1247,No old price,TRUE,https://www.ikea.com/sa/en/p/solleroen-armchair-outdoor-dark-grey-froesoen-duvholmen-beige-s19287714/,Yes,"Armchair, outdoor",Jonas Hultqvist/IKEA of Sweden/Eva Lilja Löwenhielm,82x88x98
60424586_SOLLERÖN,Outdoor furniture,495,No old price,TRUE,https://www.ikea.com/sa/en/p/solleroen-armrest-section-outdoor-dark-grey-60424586/,No,"Armrest section, outdoor",Jonas Hultqvist,82x53x18
40365366_MAMMUT,Outdoor furniture,59,No old price,TRUE,https://www.ikea.com/sa/en/p/mammut-childrens-chair-in-outdoor-red-40365366/,No,Children's chair,M Kjelstrup/A Östgaard,36x67x39
