title,origin,language_rank
Expect,1990 - NA,503
BETA,1983 - Bent Bruun Kristensen and Ole Lehrmann Madsen and Birger Møller-Pedersen and Kristen Nygaard,504
Action!,1983 - NA,505
janet,2018 - Calvin Rose,455
Ladder Logic,1994 - NA,420
beef-lang,2019 - Brian Fiete,448
Inno Setup,1997 - NA,508
Dogescript,2013 - Zach Bruggeman,439
PL/M,1973 - NA,512
Cg,2003 - NA,514
LilyPond,1996 - NA,516
MPS,2010 - NA,425
PEG,2002 - NA,406
FASTA,2004 - NA,426
datascript,2014 - NA,444
Shakespeare,1993 - NA,414
SWI Prolog,1987 - NA,417
QB64,2007 - NA,518
Korn shell,1983 - NA,431
WDL,2012 - NA,442
Imba,2014 - NA,484
Koka,2012 - Daan Leijen,465
Altair BASIC,1975 - NA,411
Closure Templates,2009 - NA,440
UNLAMBDA,1999 - David Madore,519
IGOR Pro,1993 - NA,520
PhyloXML,2009 - NA,521
RISC-V,2010 - NA,437
CWL,2014 - Luka Stojanovic,438
Augmented Backus-Naur Form,2008 - NA,427
gravity,2017 - NA,494
Java EE version history,1998 - NA,525
Ron,2015 - Juniper Tyree,475
EBNF,1977 - Niklaus Wirth,462
SourcePawn,2014 - NA,441
Textile,2002 - netcarver,473
Java Properties,1995 - NA,456
OpenLisp,1988 - Christian Jullien,535
Blitz3D,2001 - NA,529
Ren'Py,2004 - NA,450
Commodore BASIC,1977 - NA,436
Taichi,2019 - Yuanming Hu,530
PIR,2006 - NA,537
LPC,1995 - Lars Pensjö,538
Xtext,2006 - NA,480
Reia,2008 - NA,458
carp,2016 - Erik Svedäng,511
GAMS,1988 - NA,541
CWEB,1987 - Donald Knuth,536
dynamo-visual-language,2011 - Ian Keough,481
Euphoria,1993 - Jeremy Cowgar and Robert Craig and Matt Lewis and Derek Parnell,540
Hjson,2014 - Christian Zangl,501
BBCode,1998 - NA,452
Microsoft Small Basic,2008 - NA,459
Guile,1993 - Aubrey Jaffer and Tom Lord and Miles Bader,555
Argdown,2014 - NA,467
GeoJSON,2008 - NA,464
Velocity,2003 - NA,561
Qualcomm Hexagon,2006 - NA,463
RUNOFF,1965 - NA,545
Jule,2021 - Mertcan Davulcu,546
Aith,2020 - Superstar64,547
RoboMind,2005 - NA,565
MDX,2017 - John Otander,543
IMAP,1986 - NA,495
Dockerfile,2013 - NA,562
DDML,1999 - NA,550
